group,Ph,SO4,Totaln,Totalc,Toc,Totals,Totalh,cn,Astot,As1,As2,AsIII,AsV,Sbtot,Sb1,Sb2,SbIII,SbV,chao1,observedspecies,shannon,ace,simpson,goodscoverage,Pdwholetree
WKA,6.66,132.15,0.02,1.51,0.48,0.22,0.25,95.8,96.29,5.7,1.18,0.29,3.59,667.5,33.04,40.98,208.57,344.16,13475.08,4805,8.17,15043.25,0.98,0.91,279.86
WKA,6.31,207.24,0.01,0.79,0.29,0.18,0.15,70.3,97.45,4.92,0.96,0.01,2.11,591.32,92.37,73.31,104.44,148.47,4615.94,2161,4.23,4515.92,0.62,0.97,171.66
WKA,7.77,112.71,0.03,1.65,0.77,0.14,0.21,53.2,95.84,5.16,6.83,1.61,2.61,817.97,38.92,83.44,271.15,348.63,13688.87,4691,8.27,14909.41,0.98,0.91,305.59
WKA,8.86,139.8,0.01,0.75,0.08,0.12,0.1,64.1,119.28,5.63,0.66,0.11,2.06,543.03,22.78,37.32,160.27,217.49,4487.82,1985,5.25,4697.83,0.88,0.97,140.2
WKA,9.41,238.03,0.01,1,0.22,0.12,0.13,84,125.12,5.74,1.19,0.64,2.58,918.21,29.77,47.37,188.87,249.35,8931.16,2927,6.07,10434.66,0.93,0.94,209.64
WKA,12.4,11.8,0.01,0.82,0.18,0.11,0.17,69,108.25,5.33,0.38,0,1.88,551.98,63.88,49.87,187.25,192.21,4566.28,2009,6.72,4659.71,0.96,0.97,152.98
WKA,9.33,0,0.02,1.31,0.59,0.13,0.14,67.8,116.69,5.09,1.17,0,3.06,791.93,63.04,89.88,217.51,277.19,13071.1,4492,7.25,14660.34,0.95,0.91,261.36
WKA,9.77,168.35,0.02,0.9,0.11,0.12,0.11,51.3,109.65,5.05,0.38,0.25,3.49,882.03,94.77,104.44,352.08,436.61,6380.08,2219,5.23,6731.56,0.91,0.96,151.96
WKA,7.2,22.42,0.01,0.59,0.06,0.09,0.06,53.8,113.57,5.15,0.7,0,2.35,708.42,37.92,50.55,238.66,277.65,16197.7,5529,7.84,18333.07,0.96,0.89,320.7
WKA,7.93,10.92,0.01,0.54,0.1,0.11,0.07,44.9,110.25,5.14,0.95,0.09,2.39,649.87,39.05,59.9,254.4,316.34,5167.66,2323,5.66,5221.72,0.86,0.96,159.2
WKA,6.79,240.2,0.02,0.76,0.3,0.12,0.07,49,107.93,5.63,1.12,0.41,3.17,925.99,68.47,155.79,333.35,393.44,12714.97,4210,6.86,13920.46,0.94,0.91,256.88
WKA,8.72,211.25,0.01,0.7,0.18,0.14,0.06,53.2,114.22,5.85,0.78,0.14,2.77,911.47,56.41,70.84,379.88,492.36,6963.91,3056,7.47,6871.85,0.97,0.95,203.44
WKA,8.31,70.25,0.01,0.6,0.15,0.1,0.06,65.7,118.53,5.55,0.86,2.83,2.91,1399.97,19.21,33.21,283.97,317.81,13877.34,4821,7.61,15845.04,0.95,0.9,280.26
WKA,6.27,10.88,0.01,0.57,0.05,0.11,0.05,44.2,106.31,5.26,0.6,0,1.53,1451.93,34.27,46.06,130.37,132.73,5507.86,2325,6.25,5410.44,0.95,0.96,174.73
WKA,7.11,60.83,0.02,0.33,0.08,0.06,0.06,21.8,112.69,5.93,0.31,0.32,2.69,2988.1,57.99,64.64,503.55,650.59,18415.65,6898,9.09,19961.9,0.97,0.87,412.21
WKA,7.86,21.46,0.01,0.19,0.05,0.04,0.05,20.3,116.2,5.38,1.04,0.82,2.22,2155.63,47.11,82.76,450.79,497.09,13095.28,5493,9.63,13983.5,0.99,0.9,360.17
WKA,8.95,37.63,0.02,0.54,0.04,0.11,0.05,33.5,105.7,4.87,0.8,0,1.49,1111.78,37.21,57.6,194.12,209.89,12387.64,4319,6.54,13019.33,0.89,0.92,263.24
WKA,12.03,23.28,0.01,0.68,0.1,0.09,0.07,55.4,110.13,5.24,0.79,0.45,2.66,736.45,75.52,45.86,347.36,411.76,1914.01,668,1.74,2022.06,0.38,0.99,51.68
WKA,7.97,0,0.01,0.78,0.12,0.09,0.05,72,104.87,5.07,0.38,0,1.64,850.47,41.67,78.4,212.7,265.69,16888.68,5942,8.4,18872.9,0.97,0.88,337.46
